,country,latitude,longitude,name,process_date
0,ID,-0.789275,113.921327,Indonesia,2025-02-17
1,IE,53.41291,-8.243889999999999,Ireland,2025-02-17
2,IL,31.046051000000002,34.851612,Israel,2025-02-17
3,IM,54.236107,-4.548056,Isle of Man,2025-02-17
4,IN,20.593684,78.96288,India,2025-02-17
5,IO,-6.343194,71.87651899999999,British Indian Ocean Territory,2025-02-17
6,IQ,33.223191,43.679291,Iraq,2025-02-17
7,IR,32.427908,53.68804599999999,Iran,2025-02-17
8,IS,64.96305100000001,-19.020835,Iceland,2025-02-17
9,IT,41.87194,12.56738,Italy,2025-02-17
